wl,beetle_Stigmodera gratiosa_blue_Splice17_001,beetle_Stigmodera gratiosa_blue_Splice17_002,beetle_Stigmodera gratiosa_blue_Splice17_003,beetle_Cyria imperialis_yellow_Splice17_001,beetle_Cyria imperialis_yellow_Splice17_002,beetle_Cyria imperialis_yellow_Splice17_003,beetle_Castiarina_erythroptera_red_Splice17_001.txt,beetle_Castiarina_erythroptera_red_Splice17_002.txt,beetle_Castiarina_erythroptera_red_Splice17_003.txt,beetle_Temognatha obscuripennis_dark purple_Splice17_001,beetle_Temognatha obscuripennis_dark purple_Splice17_002,beetle_Temognatha obscuripennis_dark purple_Splice17_003,beetle_Melobasis cuprifera_pink_Splice17_001,beetle_Melobasis cuprifera_pink_Splice17_002,beetle_Melobasis cuprifera_pink_Splice17_003,beetle_Merimna atrata_black_Splice17_001,beetle_Merimna atrata_black_Splice17_002,beetle_Merimna atrata_black_Splice17_003,beetle_Melobasis_propinqua_green_green_Splice17_001,beetle_Melobasis_propinqua_green_green_Splice17_002,beetle_Melobasis_propinqua_green_green_Splice17_003,beetle_Pseudotaenia gigas_green_Splice17_001,beetle_Pseudotaenia gigas_green_Splice17_002,beetle_Pseudotaenia gigas_green_Splice17_003
350,4.76053523,4.103833172,4.614419789,9.41281186,8.3416379,9.50795524,4.906233206,5.730301314,4.337114956,1.602985597,1.512644222,3.060015608,4.711737436,4.824774,5.312388853,10.67888239,11.87657069,8.509499103,4.578547633,2.966973185,1.693759952,5.287880143,7.144347487,6.601441447
355,4.777870048,4.011263464,4.597328125,8.967746739,8.024789472,9.205515084,4.860900694,5.677753925,4.324338624,2.107405835,2.107008947,3.461084091,4.679033778,4.725438371,5.238861729,10.35671528,11.25799087,8.225628471,5.462787078,3.309127454,3.096290422,5.215837027,6.93736069,6.463542329
360,4.648211176,4.017902796,4.530012926,8.676821469,7.83751171,8.945456073,4.77806583,5.624817296,4.266469356,2.740590453,2.724244248,3.661730819,4.653212704,4.72381042,5.215733276,9.906265879,10.71681954,8.013136175,6.064317423,3.665810913,4.42795227,5.296832368,6.885746868,6.536370216
365,4.667575575,4.055383665,4.484086858,8.694229917,7.828279214,8.864507939,4.754575347,5.572269907,4.245050211,3.388840467,3.328705127,4.094807995,4.568747435,4.661416877,5.13462001,9.531172123,10.30418241,7.777085946,6.741748719,4.141409451,5.832142222,5.421292758,6.942939781,6.635902966
370,4.703915975,4.018896536,4.496588694,8.454129336,7.456242581,8.580635898,4.754163233,5.539573753,4.240916692,4.152705629,4.121343019,4.711643832,4.541408338,4.614427992,5.046622016,9.075289948,9.678623801,7.530924395,7.156576967,4.50165098,6.704972038,5.535453206,6.996288035,6.795805256
375,4.68257188,3.946775561,4.444886788,8.188412374,7.434043519,8.38484601,4.675449507,5.511548479,4.226261488,4.902213843,4.815396208,5.129552241,4.406837126,4.496070706,4.933244122,8.573245914,8.896441991,7.185507579,7.516295162,4.703397513,7.357490351,5.639922049,7.030633349,6.904210192
380,4.656038831,4.001909209,4.397707247,8.145258403,7.14366699,8.132872909,4.592614644,5.45861185,4.194320658,5.463038128,5.441121189,5.577620084,4.334830429,4.418274455,4.858162283,8.121974882,8.391680522,6.959530361,7.528058801,4.832423614,7.701297023,5.849148171,7.133785174,7.072158248
385,4.63389537,4.051119726,4.540933562,7.872447969,6.912073262,7.984713585,4.520082624,5.360134151,4.127057029,6.16585486,6.113388692,6.109327028,4.230282207,4.328092398,4.717687975,7.612627342,7.645827306,6.654473425,7.220899035,4.710573627,7.083587501,5.949454563,7.186165037,7.214286349
390,4.717905988,4.116498168,4.596251544,7.643441115,6.66859611,7.711355432,4.447138491,5.281507687,4.074072829,6.609678305,6.607265905,6.459753514,4.148778568,4.249466202,4.657043651,7.069730636,6.871909073,6.321006687,6.809626966,4.552565677,6.45488093,6.099215937,7.316881894,7.361342525
395,4.79704514,4.188769808,4.632377861,7.436213849,6.424992516,7.551914496,4.404278661,5.252703933,4.063175369,7.120102687,7.098734555,6.858730587,4.070185878,4.183442254,4.552392136,6.595603285,6.298683178,6.047149395,6.333467322,4.29309048,5.701419388,6.29301889,7.449373846,7.566959152
400,4.958864143,4.381759465,4.821135857,7.266703786,6.298351893,7.345567929,4.397272727,5.228181818,4.071818182,7.613919822,7.635055679,7.322783964,4.032783964,4.133919822,4.52,6.131135857,5.607216036,5.745567929,5.751648107,3.971648107,4.863296214,6.513296214,7.645567929,7.793296214
405,4.768571429,4.371428571,5.005714286,7.168571429,6.232857143,7.618571429,4.15,5.03173913,3.881304348,7.775714286,8.085714286,7.625714286,4.03,4.344285714,4.764285714,5.874285714,5.425714286,5.412857143,5.435714286,3.741428571,4.907142857,6.324285714,7.975714286,8.165714286
