wl,flower_Chorizema cordatum_orange_1,flower_Chorizema cordatum_orange_2,flower_Chorizema cordatum_orange_3,flower_Olearia homolepis_1,flower_Olearia homolepis_2,flower_Olearia homolepis_3,flower_Chamelaucium uncinatum_1,flower_Chamelaucium uncinatum_2,flower_Chamelaucium uncinatum_3,flower_Senna artemisioides_1,flower_Senna artemisioides_2,flower_Senna artemisioides_3,flower_Eremophila maculata_1,flower_Eremophila maculata_2,flower_Eremophila maculata_3,flower_Leptospermum liversidgei_1,flower_Leptospermum liversidgei_2,flower_Leptospermum liversidgei_3,leaves_Gastrolobium bilobus_1,leaves_Gastrolobium bilobus_2,leaves_Gastrolobium bilobus_3
470,10.24,10.13135747,10.30135747,48.63357466,51.77764706,50.51357466,62.30135747,46.3340724,57.64357466,9.228642534,7.56,7.737285068,15.40950226,13.87678733,12.54542986,48.07,52.26135747,51.10135747,6.932714932,7.622714932,7.311357466
475,10.19585034,10.12585034,10.26585034,47.70049887,50.68854875,49.42659864,62.09609977,46.17414966,56.75854875,9.138049887,7.456099773,7.70414966,14.37244898,13.14634921,11.94024943,48.18195011,52.28,51.28195011,6.818049887,7.516099773,7.252199546
480,10.43079365,10.33539683,10.52619048,46.5152381,49.3952381,48.17984127,61.75380952,45.80380952,55.50063492,8.819206349,7.229206349,7.413809524,13.27603175,12.29142857,11.30761905,48.34539683,52.4,51.41920635,6.784603175,7.464603175,7.214603175
485,10.75590909,10.67590909,10.80795455,45.18329545,47.93431818,46.70431818,61.12613636,45.35511364,54.10227273,8.758977273,7.178977273,7.387954545,12.13022727,11.42715909,10.56715909,48.39795455,52.41102273,51.35897727,6.78,7.468977273,7.218977273
490,11.03542141,10.94542141,11.06271071,43.82933941,46.33933941,45.2766287,60.40373576,44.87915718,52.57747153,9.206264237,7.540842825,7.776264237,11.04560364,10.58102506,9.871025057,48.48271071,52.45,51.47271071,6.868132118,7.585421412,7.295421412
495,11.12339408,11.02678815,11.08339408,42.25751708,44.66751708,43.67412301,59.74375854,44.33697039,51.06751708,10.17927107,8.366059226,8.652665148,10.03715262,9.810364465,9.246970387,48.60660592,52.51660592,51.52660592,7.106605923,7.823211845,7.51642369
500,10.81744292,10.69808219,10.73744292,40.61105023,42.93105023,41.96105023,58.97424658,43.73616438,49.44041096,11.96406393,9.89086758,10.26150685,9.204246575,9.076164384,8.636164384,48.68,52.54127854,51.62063927,7.503196347,8.213196347,7.963196347
505,10.40554795,10.22554795,10.3303653,39.05255708,41.19810502,40.30292237,58.09109589,42.99591324,47.82773973,14.98415525,12.46488584,12.92488584,8.405913242,8.405913242,8.050730594,48.74481735,52.6,51.68,8.143721461,8.84890411,8.623721461
510,10.3,10.13,10.21,37.33304348,39.44391304,38.61217391,57.21782609,42.30608696,46.25130435,19.48913043,16.34434783,16.96347826,7.764347826,7.814347826,7.583478261,48.8173913,52.68826087,51.72913043,9.130434783,9.791304348,9.631304348
515,10.65169336,10.4980778,10.5780778,35.71938215,37.67938215,36.95576659,56.28745995,41.53469108,44.69661327,25.7305492,21.87524027,22.6424714,7.249153318,7.329153318,7.159153318,48.95,52.78638444,51.85361556,10.49061785,11.08700229,11.05061785
520,11.35587156,11.18587156,11.22763761,34.07472477,36.01649083,35.31295872,55.38412844,40.78883028,43.30295872,33.34637615,28.65050459,29.56697248,6.86353211,6.95353211,6.81706422,49.08646789,52.85646789,51.97646789,12.27997706,12.77350917,12.85997706
525,12.25108046,12.06108046,12.10806897,32.53085057,34.37783908,33.71482759,54.55193103,40.15494253,42.14988506,41.56381609,36.03574713,37.06875862,6.590965517,6.680965517,6.570965517,49.23903448,52.98602299,52.14602299,14.16818391,14.54517241,14.78818391
530,13.17363218,12.92363218,12.95158621,31.08455172,32.8965977,32.26250575,53.72432184,39.59022989,41.15432184,49.35110345,43.04337931,44.19337931,6.372045977,6.462045977,6.402045977,49.38795402,53.09795402,52.31795402,15.74544828,16.05749425,16.39544828
535,14.02129032,13.77129032,13.78129032,29.82958525,31.57958525,30.98262673,53.05175115,39.07087558,40.43479263,55.86207373,49.00990783,50.16294931,6.216958525,6.306958525,6.27,49.59304147,53.25608295,52.51608295,16.85129032,17.08129032,17.44824885
540,14.77963134,14.54135945,14.51963134,28.73728111,30.475553,29.89382488,52.48691244,38.67518433,40.01518433,60.89605991,53.69951613,54.85951613,6.111728111,6.191728111,6.181728111,49.81481567,53.42827189,52.80654378,17.44135945,17.65308756,17.97481567
545,15.44203233,15.22203233,15.19836028,27.83429561,29.61429561,29.01796767,52.08898383,38.43265589,39.85,64.76648961,57.25281755,58.44281755,6.046327945,6.12,6.11,50.06101617,53.69468822,53.10101617,17.83101617,18.05101617,18.35101617
